MLinkID,USNode,DSNode,LinkReach,ReachElement
33400,AAQ538,AAQ580,1.2.2.1.1.3.1.2.2.1.1.2.1.2.2.1.1.1.1.2.2,1
33396,AAQ560,AAQ581,1.2.2.1.1.3.1.2.2.1.1.2.1.2.2.1.1.1.1,5
3785,AAQ699,AAQ700,1.2.2.1.1.3.1.2.2.1.1.2.1.2.2.2.1.1.2.1.1.1.1.1.2.1,2
3784,AAQ700,AAQ701,1.2.2.1.1.3.1.2.2.1.1.2.1.2.2.2.1.1.2.1.1.1.1.1.2.1,1
3771,AAQ704,AAQ701,1.2.2.1.1.3.1.2.2.1.1.2.1.2.2.2.1.1.2.1.1.1.1.1.2.2,1
3773,AAQ702,AAQ703,1.2.2.1.1.3.1.2.2.1.1.2.1.2.2.2.1.1.2.1.1.1.1.1.2.2.2,2
3774,AAQ707,AAQ704,1.2.2.1.1.3.1.2.2.1.1.2.1.2.2.2.1.1.2.1.1.1.1.1.2.2.1,1
3772,AAQ703,AAQ704,1.2.2.1.1.3.1.2.2.1.1.2.1.2.2.2.1.1.2.1.1.1.1.1.2.2.2,1
3775,AAQ710,AAQ707,1.2.2.1.1.3.1.2.2.1.1.2.1.2.2.2.1.1.2.1.1.1.1.1.2.2.1,2
3776,AAQ713,AAQ710,1.2.2.1.1.3.1.2.2.1.1.2.1.2.2.2.1.1.2.1.1.1.1.1.2.2.1,3
3777,AAQ714,AAQ713,1.2.2.1.1.3.1.2.2.1.1.2.1.2.2.2.1.1.2.1.1.1.1.1.2.2.1,4
3886,AAQ718,AAQ714,1.2.2.1.1.3.1.2.2.1.1.2.1.2.2.2.1.1.2.1.1.1.1.1.2.2.1,5
3887,AAQ763,AAQ718,1.2.2.1.1.3.1.2.2.1.1.2.1.2.2.2.1.1.2.1.1.1.1.1.2.2.1,6
3778,AAQ729,AAQ727,1.2.2.1.1.3.1.2.2.1.1.2.1.2.2.2.1.1.2.1.1.1.1.1.1,1
3769,AAQ743,AAQ727,1.2.2.1.1.3.1.2.2.1.1.2.1.2.2.2.1.1.2.1.1.1.1.1.2,1
3768,AAQ727,AAQ728,1.2.2.1.1.3.1.2.2.1.1.2.1.2.2.2.1.1.2.1.1.1.1.1,2
3779,AAQ731,AAQ729,1.2.2.1.1.3.1.2.2.1.1.2.1.2.2.2.1.1.2.1.1.1.1.1.1,2
48218,AAQ773,AAQ731,1.2.2.1.1.3.1.2.2.1.1.2.1.2.2.2.1.1.2.1.1.1.1.1.1.1,1
3780,AAQ732,AAQ731,1.2.2.1.1.3.1.2.2.1.1.2.1.2.2.2.1.1.2.1.1.1.1.1.1.2,1
3781,AAQ733,AAQ732,1.2.2.1.1.3.1.2.2.1.1.2.1.2.2.2.1.1.2.1.1.1.1.1.1.2,2
3782,AAQ735,AAQ733,1.2.2.1.1.3.1.2.2.1.1.2.1.2.2.2.1.1.2.1.1.1.1.1.1.2,3
3783,AAQ736,AAQ735,1.2.2.1.1.3.1.2.2.1.1.2.1.2.2.2.1.1.2.1.1.1.1.1.1.2.1,1
3761,AAQ734,AAQ735,1.2.2.1.1.3.1.2.2.1.1.2.1.2.2.2.1.1.2.1.1.1.1.1.1.2.2,1
48224,AAQ764,AAQ736,1.2.2.1.1.3.1.2.2.1.1.2.1.2.2.2.1.1.2.1.1.1.1.1.1.2.1,2
3770,AAQ701,AAQ743,1.2.2.1.1.3.1.2.2.1.1.2.1.2.2.2.1.1.2.1.1.1.1.1.2,2
4748,AAT707,AAT648,3.2.2.1.1.1.2.1.2.2.2.2.2.2.1.1,4
4813,AAT648,AAT650,3.2.2.1.1.1.2.1.2.2.2.2.2.2.1.1,3
4779,AAT706,AAT651,3.2.2.1.1.1.2.1.2.2.2.2.2.2.2.2,2
4814,AAT649,AAT652,3.2.2.1.1.1.2.1.2.2.2.2.2.2.2.1,1
4778,AAT651,AAT652,3.2.2.1.1.1.2.1.2.2.2.2.2.2.2.2,1
4808,AAT643,AAT653,3.2.2.1.1.1.2.1.2.2.2.2.2.1,2
4804,AAT644,AAT654,3.2.2.1.1.1.2.1.2.2.2.1,3
4801,AAT645,AAT655,3.2.2.1.1.1.2.1.2.1,4
4797,AAT646,AAT656,3.2.2.1.1.1.2.1.1,4
4816,AAT666,AAT658,3.2.2.1.2.2.1.1.1,1
4815,AAT659,AAT658,3.2.2.1.2.2.1.1.2,1
48213,AAT657,AAT659,3.2.2.1.2.2.1.1.2.1,1
4817,AAT647,AAT659,3.2.2.1.2.2.1.1.2.2,1
4812,AAT650,AAT660,3.2.2.1.1.1.2.1.2.2.2.2.2.2.1.1,2
4809,AAT662,AAT661,3.2.2.1.1.1.2.1.2.2.2.2.2.2.1,1
4777,AAT652,AAT661,3.2.2.1.1.1.2.1.2.2.2.2.2.2.2,1
4811,AAT660,AAT662,3.2.2.1.1.1.2.1.2.2.2.2.2.2.1.1,1
4810,AAT702,AAT662,3.2.2.1.1.1.2.1.2.2.2.2.2.2.1.2,1
4807,AAT653,AAT664,3.2.2.1.1.1.2.1.2.2.2.2.2.1,1
4776,AAT661,AAT664,3.2.2.1.1.1.2.1.2.2.2.2.2.2,1
4800,AAT655,AAT665,3.2.2.1.1.1.2.1.2.1,3
4806,AAT668,AAT667,3.2.2.1.1.1.2.1.2.2.2.2.1,2
4799,AAT665,AAT668,3.2.2.1.1.1.2.1.2.1,2
4796,AAT656,AAT669,3.2.2.1.1.1.2.1.1,3
4803,AAT654,AAT670,3.2.2.1.1.1.2.1.2.2.2.1,2
4805,AAT667,AAT672,3.2.2.1.1.1.2.1.2.2.2.2.1,1
4775,AAT664,AAT672,3.2.2.1.1.1.2.1.2.2.2.2.2,1
4802,AAT670,AAT673,3.2.2.1.1.1.2.1.2.2.2.1,1
4774,AAT672,AAT673,3.2.2.1.1.1.2.1.2.2.2.2,1
4790,AAT677,AAT674,3.2.2.1.1.1.2.1.2.2.1,1
4773,AAT673,AAT674,3.2.2.1.1.1.2.1.2.2.2,1
48267,AAT689,AAT675,3.2.2.1.1.1.2.1.2.2.1.2,3
48268,AAT675,AAT676,3.2.2.1.1.1.2.1.2.2.1.2,2
4792,AAT703,AAT677,3.2.2.1.1.1.2.1.2.2.1.1,1
4791,AAT676,AAT677,3.2.2.1.1.1.2.1.2.2.1.2,1
4772,AAT674,AAT678,3.2.2.1.1.1.2.1.2.2,2
4795,AAT669,AAT679,3.2.2.1.1.1.2.1.1,2
4767,AAT681,AAT680,3.2.2.1.1.1.2.2,3
48358,AAT803,AAT681,3.2.2.1.1.1.2.2.1,1
4768,AAT671,AAT681,3.2.2.1.1.1.2.2.2,1
4798,AAT668,AAT682,3.2.2.1.1.1.2.1.2.1,1
4771,AAT678,AAT682,3.2.2.1.1.1.2.1.2.2,1
4756,AAT683,AAT685,3.2.1,6
4789,AAT684,AAT686,3.2.2.1.1.2.1,6
4794,AAT679,AAT687,3.2.2.1.1.1.2.1.1,1
4770,AAT682,AAT687,3.2.2.1.1.1.2.1.2,1
4758,AAT704,AAT688,3.2.1,4
48266,AAT690,AAT689,3.2.2.1.1.1.2.1.2.2.1.2,4
4769,AAT687,AAT691,3.2.2.1.1.1.2.1,2
4759,AAT688,AAT692,3.2.1,3
4785,AAT716,AAT693,3.2.2.1.1.2.1,2
4784,AAT693,AAT694,3.2.2.1.1.2.1,1
4783,AAT712,AAT694,3.2.2.1.1.2.2,1
4764,AAT712,AAT695,3.2.2.1.1.1,1
4755,AAT694,AAT695,3.2.2.1.1.2,1
4788,AAT686,AAT696,3.2.2.1.1.2.1,5
4762,AAT698,AAT697,3.2.2.1.2,2
48259,AAT806,AAT698,3.2.2.1.2,3
4781,AAT713,AAT699,3.2.2.2,2
4763,AAT695,AAT700,3.2.2.1.1,1
4761,AAT697,AAT700,3.2.2.1.2,1
4760,AAT692,AAT701,3.2.1,2
4793,AAT663,AAT703,3.2.2.1.1.1.2.1.2.2.1.1,2
4757,AAT685,AAT704,3.2.1,5
4752,AAT691,AAT705,3.2.2.1.1.1.2.1,1
4749,AAT709,AAT705,3.2.2.1.1.1.2.2,1
4780,AAT642,AAT706,3.2.2.1.1.1.2.1.2.2.2.2.2.2.2.2,3
4787,AAT696,AAT708,3.2.2.1.1.2.1,4
4751,AAT680,AAT709,3.2.2.1.1.1.2.2,2
48360,AAT805,AAT710,3.2.2.1.1.1.1.1,1
48359,AAT804,AAT710,3.2.2.1.1.1.1.2,1
4766,AAT710,AAT711,3.2.2.1.1.1.1,1
4750,AAT705,AAT711,3.2.2.1.1.1.2,1
4765,AAT711,AAT712,3.2.2.1.1.1,2
4782,AAT694,AAT713,3.2.2.2,3
4754,AAT700,AAT714,3.2.2.1,1
4753,AAT699,AAT714,3.2.2.2,1
48262,AAX755,AAT715,4.1,1
4827,AAT714,AAT715,4.2,1
4786,AAT708,AAT716,3.2.2.1.1.2.1,3
3664,AAQ410,AAT727,3.2.2.1.2.2.2.1,1
3600,AAQ414,AAT727,3.2.2.1.2.2.2.2,1
48197,AAQ437,AAT729,3.2.2.1.2.1.1.2.2.3.2.1.3.3.1.2,6
48214,AAT727,AAT730,3.2.2.1.2.2.2,4
4889,AAT818,AAT731,3.2.2.1.2.1.1.2.1,5
4884,AAT795,AAT732,3.2.2.1.2.1.1.2.2.1,6
