MLinkID,USNode,DSNode,LinkReach,ReachElement
16412,ABR761,ABR773,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.1.1.1.2.1.1.2.1.2.2.2.1.2.2,5
16429,ABR775,ABR774,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.2.1.2.1.2.2.2.1.1.2.2.3,3
59112,ABR803,ABR776,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.2.1.2.1.2.2.2.1.1.2.1.1.1.2,2
59097,ABR681,ABR777,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.2.1.2.1.2.2.2.1.1.2.1.1,1
16420,ABR778,ABR777,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.2.1.2.1.2.2.2.1.1.2.1.2,1
16421,ABR782,ABR781,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.2.1.2.1.2.2.2.1.1.2.1.1.1,1
16408,ABR799,ABR781,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.2.1.2.1.2.2.2.1.1.2.1.1.2,1
16423,ABR783,ABR782,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.2.1.2.1.2.2.2.1.1.2.1.1.1.1,1
16422,ABR776,ABR782,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.2.1.2.1.2.2.2.1.1.2.1.1.1.2,1
59108,ABR789,ABR783,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.2.1.2.1.2.2.2.1.1.2.1.1.1.1.1,1
16406,ABR807,ABR783,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.2.1.2.1.2.2.2.1.1.2.1.1.1.1.2,1
59092,ABR655,ABR784,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.1.1.1.2.1.1.2.1.2.2.2.1.1,2
59111,ABR802,ABR785,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.1.1.1.2.1.1.2.1.2.2.2.1.2.2,2
16418,ABR787,ABR786,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.2.1.2.1.2.2.2.1.1.1,3
16419,ABR788,ABR787,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.2.1.2.1.2.2.2.1.1.1,4
16417,ABR791,ABR790,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.1.1.1.2.1.1.2.1.2.2.2.1,4
16413,ABR784,ABR791,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.1.1.1.2.1.1.2.1.2.2.2.1.1,1
16409,ABR792,ABR791,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.1.1.1.2.1.1.2.1.2.2.2.1.2,1
58326,ABR915,ABR792,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.1.1.1.2.1.1.2.1.2.2.2.1.2.1,1
16410,ABR785,ABR792,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.1.1.1.2.1.1.2.1.2.2.2.1.2.2,1
